,group,names,scores,logfoldchanges,pvals,pvals_adj
14148,High,IRF9,9.984341,1.4229032,1.7848377259755582e-23,3.282791888115643e-22
14695,High,IRF1,6.8042936,1.6916639,1.0154640040584433e-11,9.300633439065728e-11
15943,High,STAT1,3.8439014,0.48144448,0.00012109367467403219,0.0005109866190967499
16167,High,JAK1,3.545118,0.4660412,0.00039243715221828706,0.001504083162394947
16553,High,JAK2,3.0811698,2.446031,0.0020618903824296373,0.00686975390276889
17247,High,IFNGR1,2.3793812,0.2535508,0.01734173691508057,0.04570776725456497
