,group,names,scores,logfoldchanges,pvals,pvals_adj
110595,9.0,JAK1,3.1251109,0.72850454,0.0017773803464892026,0.00887182807906502
83663,7.0,JAK1,2.924217,0.5997282,0.0034532395046916074,0.01614174833391239
136489,11.0,PDCD2,4.059841,1.130579,4.910608910994675e-05,0.00047313105215754386
163651,13.0,PDCD2,4.691637,1.1532403,2.7102769465791873e-06,2.3932823891612825e-05
149673,12.0,PDCD2,5.483792,1.4614686,4.1630415089555774e-08,6.079298048191116e-07
1747,1.0,PDCD2,5.395439,0.7611859,6.83562365311657e-08,4.1291315212958054e-07
108762,9.0,PDCD2,6.993012,1.4361057,2.690461398379763e-12,6.782267402209842e-11
95644,8.0,PDCD2,5.0175986,0.9884658,5.232138925657034e-07,6.9235058295815505e-06
81723,7.0,PDCD2,7.218607,1.3145611,5.252274218534896e-13,1.2561843833269768e-11
68299,6.0,PDCD2,8.69118,1.281005,3.5869295403970185e-18,6.976474883384258e-17
54931,5.0,PDCD2,8.96614,1.1803002,3.070882395555041e-19,4.618948332069843e-18
122595,10.0,PDCD2,5.3365784,1.2274891,9.471690621969156e-08,1.408992043402159e-06
41361,4.0,PDCD2,11.240442,1.207116,2.580856647771527e-29,4.0671776997535695e-28
28051,3.0,PDCD2,9.713385,1.0674441,2.644082034938212e-22,3.1507868404012826e-21
14721,2.0,PDCD2,8.756866,1.0233057,2.00752508298353e-18,1.931475980692825e-17
66873,5.0,STAT1,-3.319174,-0.57181454,0.0009028412038460761,0.0031753082297906812
53670,4.0,STAT1,-5.639831,-0.7651176,1.702172700998242e-08,9.078925080147045e-08
39529,3.0,STAT1,-3.5243907,-0.4831151,0.0004244578226520543,0.0013381195960039261
12752,1.0,STAT1,-4.1352525,-0.5392096,3.545642664522853e-05,0.00015598753574795537
26335,2.0,STAT1,-4.741614,-0.6020914,2.1202222712111383e-06,8.861206818581408e-06
121367,9.0,STAT3,-2.9088337,-0.9015513,0.003627796818160214,0.016211790327942205
52985,4.0,STAT3,-3.2517695,-0.33853865,0.0011468893951889776,0.0033670444030954655
39042,3.0,STAT3,-2.539378,-0.24994689,0.011104981392101127,0.026459291726490256
175142,13.0,STAT3,-2.8845518,-0.66084266,0.003919713087042317,0.018456054281492815
