,group,names,scores,logfoldchanges,pvals,pvals_adj
81352,70,CXCL10,4.382773,1.1648877,1.1717824182906877e-05,0.0005565760911017909
107679,80,CXCL11,-4.200699,-2.7489407,2.660921081110269e-05,0.00047894267569198234
121267,90,CXCL11,-5.797715,-27.761356,6.722447682720531e-09,1.3402323163621182e-07
134957,100,CXCL11,-5.1688113,-27.733759,2.3558736875369681e-07,5.949899647049989e-06
